Brand,Model,Rank,Benchmark,Samples
Nvidia,RTX 2060 (Mobile),78,69.2,110959
Nvidia,GTX 1660,79,68.7,220505
Gigabyte,Gigabyte GTX 1660 6GB OC,79,68.7,220505
EVGA,EVGA GTX 1660 6GB XC Ultra Gaming,79,68.7,220505
MSI,MSI GTX 1660 6GB Ventus XS OC,79,68.7,220505
MSI,MSI GTX 1660 6GB Gaming X,79,68.7,220505
EVGA,EVGA GTX 1660 6GB XC Black,79,68.7,220505
Asus,Asus GTX 1660 6GB Phoenix,79,68.7,220505
Gigabyte,Gigabyte GTX 1660 6GB Gaming OC,79,68.7,220505
Zotac,Zotac GTX 1660 6GB Compact,79,68.7,220505
Zotac,Zotac GTX 1660 6GB Gaming Compact,79,68.7,220505
EVGA,EVGA GTX 1660 6GB  SC Ultra Dual,79,68.7,220505
Nvidia,Quadro P4000,80,67,11776
AMD,R9 Fury-X,81,65.1,8776
AMD,XFX R9 FURY X 4GB,81,65.1,8776
AMD,Sapphire R9 Fury X 4GB ,81,65.1,8776
AMD,Gigabyte R9 Fury X 4GB,81,65.1,8776
Nvidia,Quadro P5000-M (Mobile),82,65,646
Nvidia,GTX 1660 Ti (Mobile),83,64.5,77861
AMD,R9 Fury,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB TRI-X OC,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB TRI-X OC,84,62.9,16988
Asus,Asus R9 Fury 4GB Gaming,84,62.9,16988
XFX,XFX R9 Fury 4GB,84,62.9,16988
Sapphire,Sapphire R9 Fury 4GB NITRO,84,62.9,16988
Nvidia,GTX 980,85,60.6,170996
EVGA,EVGA GTX 980 4GB SC ACX 2.0,85,60.6,170996
MSI,MSI GTX 980 4GB GAMING,85,60.6,170996
Asus,ASUS GTX 980 4GB STRIX OC,85,60.6,170996
Nvidia,GTX 1070 (Mobile Max-Q),86,60.2,8182
AMD,RX 590,87,60,119752
XFX,XFX RX 590 8GB Fatboy OC+,87,60,119752
Sapphire,Sapphire RX 590 8GB Nitro+,87,60,119752
PowerColor,PowerColor RX 590 8GB Red Dragon,87,60,119752
PowerColor,PowerColor RX 590 8GB Red Devil,87,60,119752
MSI,MSI RX 590 8GB Armor OC,87,60,119752
Gigabyte,Gigabyte RX 590 8GB Gaming,87,60,119752
Sapphire,Sapphire RX 590 8GB Pulse,87,60,119752
Nvidia,GTX 1650S (Super),88,59.7,162472
Zotac,Zotac GTX 1650 Super 4GB Gaming,88,59.7,162472
Asus,Asus GTX 1650 Super 4GB TUF Gaming,88,59.7,162472
EVGA,EVGA GTX 1650 Super 4GB SC Ultra,88,59.7,162472
MSI,MSI GTX 1650 Super 4GB Ventus XS,88,59.7,162472
Gigabyte,Gigabyte GTX 1650 Super 4GB 2x Windforce,88,59.7,162472
MSI,MSI GTX 1650 Super 4GB Gaming X,88,59.7,162472
Asus,Asus GTX 1650 Super 4GB Phoenix,88,59.7,162472
Nvidia,RTX 3050 Ti (Laptop),89,58.2,13192
Nvidia,GTX Titan Z (SLI Disabled),90,57.7,566
Nvidia,GTX 1060-6GB,91,57,1387999
EVGA,EVGA GTX 1060 6GB Gaming,91,57,1387999
EVGA,EVGA GTX 1060 6GB Gaming SC,91,57,1387999
Gigabyte,Gigabyte GTX 1060 6GB G1 Gaming,91,57,1387999
Zotac,Zotac GTX 1060 6GB AMP,91,57,1387999
Zotac,Zotac GTX 1060 6GB Mini,91,57,1387999
MSI,MSI GTX 1060 6GB Gaming X,91,57,1387999
Asus,Asus GTX 1060 6GB Dual OC,91,57,1387999
Gigabyte,Gigabyte GTX 1060 6GB Windforce OC,91,57,1387999
Asus,Asus GTX 1060 6GB ROG STRIX OC,91,57,1387999
Asus,Asus GTX 1060 6GB TURBO,91,57,1387999
Gainward, Gainward GTX 1060 6GB Pheonix GS,91,57,1387999
MSI,MSI GTX 1060 6G Armor OC,91,57,1387999
MSI,MSI GTX 1060 6G Armor OCV1,91,57,1387999
Asus,Asus GTX 1060 6GB ROG STRIX,91,57,1387999
PNY,PNY GTX 1060 6GB,91,57,1387999
PNY,PNY GTX 1060 6GB OC,91,57,1387999
Gigabyte,Gigabyte GTX 1060 6GB Xtreme Gaming,91,57,1387999
EVGA,EVGA GTX 1060 6GB Gaming SSC,91,57,1387999
Gigabyte,Gigabyte GTX 1060 6GB G1 Gaming R2,91,57,1387999
MSI,MSI GTX 1060 6GB 6GT OCV1,91,57,1387999
MSI,MSI GTX 1060 6GB Gaming,91,57,1387999
Asus,Asus GTX 1060 6GB Dual OC,91,57,1387999
Nvidia,GTX 1660 Ti (Mobile Max-Q),92,56.8,13791
Nvidia,GTX 780 Ti,93,55.4,32587
AMD,R9 Nano,94,55.3,494
Asus,Asus R9 Nano 4GB,94,55.3,494
Asus,Asus R9 Nano 4GB White,94,55.3,494
Gigabyte,Gigabyte R9 Nano 4GB,94,55.3,494
AMD,R9 390X,95,55,25249
MSI,MSI R9 390X 8GB Gaming,95,55,25249
Sapphire,Sapphire R9 390X 8GB TRIPLE Tri-X OC,95,55,25249
Gigabyte,Gigabyte R9 390X 8GB G1 Gaming,95,55,25249
XFX,XFX R9 390X 8GB Double Dissipation,95,55,25249
AMD,RX 580,96,54.7,853084
MSI,MSI RX 580 8GB Gaming X,96,54.7,853084
MSI,MSI RX 580 4GB Gaming X,96,54.7,853084
Gigabyte,Gigabyte RX 580 8GB AORUS XTR,96,54.7,853084
MSI,MSI RX 580  8GB Armor OC,96,54.7,853084
MSI,MSI RX 580  4GB Armor OC,96,54.7,853084
Asus,Asus RX 580 8GB ROG Strix,96,54.7,853084
Gigabyte,Gigabyte RX 580 8GB Gaming,96,54.7,853084
Gigabyte,Gigabyte RX 580 8GB AORUS,96,54.7,853084
Sapphire,Sapphire RX 580 8GB Pulse,96,54.7,853084
XFX,XFX RX 580 4GB OC+,96,54.7,853084
XFX,XFX RX 580 8GB OC+,96,54.7,853084
XFX,XFX RX 580 8GB Black OC+,96,54.7,853084
XFX,XFX RX 580 8GB GTS XXX,96,54.7,853084
PowerColor,PowerColor RX 580 8GB Red Dragon V2,96,54.7,853084
Sapphire,Sapphire RX 580 8GB Pulse Nitro+ RX,96,54.7,853084
Asus,Asus RX 580 4GB Dual OC,96,54.7,853084
Nvidia,RTX 3050 (Laptop),97,53.7,3568
AMD,RX 5500-XT,98,53,23113
XFX,XFX RX 5600 XT 8GB Thicc II PRO,98,53,23113
AMD,R9 290X,99,52.7,35262
Sapphire,Sapphire R9 290X 4GB TRI-X OC,99,52.7,35262
Asus,Asus R9 290X 4GB DirectCU II,99,52.7,35262
XFX,XFX R9 290X 4GB Double Dissipation,99,52.7,35262
Nvidia,GTX 1060-3GB,100,52.7,586807
Asus,Asus GTX 1060 3GB Dual OC,100,52.7,586807
Zotac,Zotac GTX 1060 3GB Mini,100,52.7,586807
EVGA,EVGA GTX 1060 3GB Gaming,100,52.7,586807
EVGA,EVGA GTX 1060 3GB SC Gaming,100,52.7,586807
MSI,MSI GTX 1060 3GB Gaming X,100,52.7,586807
MSI,MSI GTX 1060 3GB Gaming X,100,52.7,586807
Gigabyte,Gigabyte GTX 1060 3GB Windforce OC,100,52.7,586807
Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming,100,52.7,586807
Gigabyte,Gigabyte GTX 1060 3GB Mini ITX OC,100,52.7,586807
MSI,MSI GTX 1060 3GB 3GT OC,100,52.7,586807
MSI,MSI GTX 1060 3GB ARMOR 3G OCV1,100,52.7,586807
Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming R2,100,52.7,586807
Nvidia,GTX Titan Black,101,52.5,3342
AMD,R9 295X2 (CrossFire Disabled),102,50.4,2479
Nvidia,GTX 970,103,50.2,809548
MSI,MSI GTX 970 4GB Gaming,103,50.2,809548
Asus,ASUS GTX 970 4GB STRIX OC,103,50.2,809548
EVGA,EVGA GTX 970 4GB Super Clocked ACX 2.0,103,50.2,809548
Gigabyte,Gigabyte GTX 970 4GB G1 Gaming,103,50.2,809548
Gigabyte,Gigabyte GTX 970 4GB OC Windforce,103,50.2,809548
EVGA,EVGA GTX 970 4GB SSC ACX 2.0+,103,50.2,809548
Asus,Asus GTX 970 4GB Turbo OC,103,50.2,809548
EVGA,EVGA GTX 970 4GB FTW+ GAMING ACX 2.0+ w/BP,103,50.2,809548
Zotac,Zotac GTX 970 4GB Graphics Card,103,50.2,809548
AMD,R9 390,104,50.1,87474
MSI,MSI R9 390 8GB Gaming,104,50.1,87474
XFX,XFX R9 390 8GB Black,104,50.1,87474
XFX,XFX R9 390 8GB Double Dissipation,104,50.1,87474
XFX,XFX R9 390 8GB Double Dissipation,104,50.1,87474
XFX,XFX R9 390 8GB Black Nero,104,50.1,87474
Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC +BP,104,50.1,87474
Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC,104,50.1,87474
Asus,Asus R9 390 8GB STRIX,104,50.1,87474
AMD,RX 6500-XT,105,49.1,1268
ASRock,ASRock RX 6500 XT 4GB Phantom Gaming D OC,105,49.1,1268
ASRock,ASRock RX 6500 XT 4GB Challenger ITX,105,49.1,1268
Asus,Asus RX 6500 XT 4GB TUF Gaming OC,105,49.1,1268
XFX,XFX RX 6500 XT 4GB Speedster QICK210,105,49.1,1268
Gigabyte,Gigabyte RX 6500 XT 4GB Gaming OC,105,49.1,1268
Gigabyte,Gigabyte RX 6500 XT 4GB Eagle,105,49.1,1268
PowerColor,PowerColor RX 6500 XT 4GB,105,49.1,1268
Sapphire,Sapphire RX 6500 XT 4GB Pulse,105,49.1,1268
AMD,RX 5500,106,49.1,297
AMD,RX 480,107,48.1,233732
AMD,Sapphire RX 480 8GB,107,48.1,233732
AMD,XFX RX 480 4GB 1266 MHz,107,48.1,233732
AMD,Sapphire RX 480 4GB,107,48.1,233732
AMD,MSI RX 480 8GB,107,48.1,233732
XFX,XFX RX 480 8GB 1328 MHz,107,48.1,233732
XFX,XFX RX 480 8GB 1288 MHz,107,48.1,233732
XFX,XFX RX 480 8GB LED 1288 MHz,107,48.1,233732
XFX,XFX RX 480 8GB XXX 1288 MHz,107,48.1,233732
XFX,XFX RX 480 8GB Black 1338 MHz,107,48.1,233732
XFX,XFX RX 480 4GB RS,107,48.1,233732
XFX,XFX RX 480 8GB RS XXX 1288 MHz,107,48.1,233732
Asus,Asus RX 480 8GB,107,48.1,233732
Sapphire,Sapphire RX 480 8GB NITRO+,107,48.1,233732
Sapphire,Sapphire RX 480 4GB NITRO+,107,48.1,233732
Sapphire,Sapphire RX 480 4GB NITRO+,107,48.1,233732
Sapphire,Sapphire RX 480 8GB NITRO+,107,48.1,233732
PowerColor,PowerColor RX 480 8GB Red Devil,107,48.1,233732
MSI,MSI RX 480 8GB Gaming X,107,48.1,233732
MSI,MSI RX 480 4GB Gaming X,107,48.1,233732
MSI,MSI RX 480 8GB Armor OC,107,48.1,233732
MSI,MSI RX 480 4GB Armor OC,107,48.1,233732
Asus,Asus RX 480 8GB ROG STRIX OC,107,48.1,233732
Nvidia,GTX 780,108,47.6,61284
Nvidia,GTX Titan,109,47.2,6674
AMD,R9 290,110,47.1,61915
Sapphire,Sapphire R9 290 4GB TRI-X OC,110,47.1,61915
XFX,XFX R9 290 4GB Double Dissipation,110,47.1,61915
XFX,XFX R9 290 4GB Black Double Dissipation,110,47.1,61915
MSI,MSI R9 290 4GB GAMING,110,47.1,61915
Sapphire,Sapphire R9 290 4GB VAPOR-X TRI-X OC,110,47.1,61915
Nvidia,GTX 780 4GB,111,46.9,971
Nvidia,GTX 1060 (Mobile),112,46.7,175892
AMD,RX 570,113,46.4,415950
MSI,MSI RX 570 4G Armor OC,113,46.4,415950
MSI,MSI RX 570 4GB Gaming X,113,46.4,415950
Gigabyte,Gigabyte RX 570 4GB Gaming,113,46.4,415950
Gigabyte,Gigabyte RX 570 4GB AORUS,113,46.4,415950
MSI,MSI RX 570 8G Armor OC,113,46.4,415950
Asus,Asus RX 570 4GB ROG Strix,113,46.4,415950
PowerColor,PowerColor RX 570 4GB Red Dragon,113,46.4,415950
XFX,XFX RX 570 4GB Twin,113,46.4,415950
XFX,XFX RX 570 4GB Twin,113,46.4,415950
XFX,XFX RX 570 4GB Twin,113,46.4,415950
XFX,XFX RX 570 4GB Twin XXX,113,46.4,415950
Nvidia,Quadro K6000,114,45.5,1124
Nvidia,GTX 1060 (Mobile Max-Q),115,43.7,37938
Nvidia,GTX 1650,116,42.9,232326
MSI,MSI GTX 1650 4GB Ventus XS OC,116,42.9,232326
Zotac,Zotac GTX 1650 4GB OC Compact,116,42.9,232326
Asus,Asus GTX 1650 4GB Phoenix,116,42.9,232326
Gigabyte,Gigabyte GTX 1650 4GB OC,116,42.9,232326
Gigabyte,Gigabyte GTX 1650 4GB Mini ITX OC,116,42.9,232326
EVGA,EVGA GTX 1650 4GB XC Gaming,116,42.9,232326
MSI,MSI GTX 1650 4GB Gaming X,116,42.9,232326
AMD,Radeon Pro 5500M,117,42.6,1978
Nvidia,GTX 1650 Ti (Mobile),118,42.3,34721
Nvidia,GTX 1650 (Mobile),119,41.4,75743
Nvidia,GTX 980M,120,40.9,11961
AMD,RX 470,121,40.7,74730
MSI,MSI RX 470 4GB Gaming X,121,40.7,74730
MSI,MSI RX 470 8GB Gaming X,121,40.7,74730
Sapphire,Sapphire RX 470 8GB NITRO+,121,40.7,74730
Sapphire,Sapphire RX 470 4GB NITRO+,121,40.7,74730
Sapphire,Sapphire RX 470 4GB,121,40.7,74730
Sapphire,Sapphire RX 470 4GB,121,40.7,74730
Asus,Asus RX 470 4GB ROG STRIX OC,121,40.7,74730
Gigabyte,Gigabyte RX 470 4GB G1 Gaming,121,40.7,74730
PowerColor,PowerColor RX 470 4GB Red Devil/Dragon,121,40.7,74730
PwrHis,HIS RX 470 4GB IceQ XÂ² OC,121,40.7,74730
XFX,XFX RX 470 4GB Single Fan,121,40.7,74730
XFX,XFX RX 470 4GB Black,121,40.7,74730
MSI,MSI RX 470 4GB ARMOR OC,121,40.7,74730
Nvidia,Quadro P2000,122,40.5,12915
AMD,HD 7970,123,39.6,6473
AMD,R9 380X,124,39.4,20140
XFX,XFX R9 380X 4GB Black DD XXX OC,124,39.4,20140
Sapphire,Sapphire R9 380X 4GB Nitro Dual-X OC,124,39.4,20140
Gigabyte,Gigabyte R9 380X 4GB Gaming,124,39.4,20140
PowerColor,PowerColor R9 280X 3GB OC,124,39.4,20140
Nvidia,Quadro P3000,125,38.8,1116
Nvidia,GTX 690 (SLI Disabled),126,38.8,5473
AMD,R9 280X,127,37.6,99661
Sapphire,Sapphire R9 280X 3GB Dual-X OC,127,37.6,99661
Sapphire,Sapphire R9 280X 3GB VAPOR-X,127,37.6,99661
Sapphire,Sapphire R9 280X 3GB TOXIC,127,37.6,99661
Gigabyte,Gigabyte R9 280X 3GB WINDFORCE OC REV3,127,37.6,99661
AMD,FirePro W9000,128,36.6,75
Nvidia,GTX 770,129,36.4,120275
Nvidia,GTX 1650 (Mobile Max-Q),130,36.2,6601
AMD,HD 7990 (CrossFire Disabled),131,36,1154
AMD,Radeon RX Vega M GH,132,35.9,3149
AMD,Radeon Pro 5300M,133,35.9,957
AMD,RX 6400,134,34.7,252
AMD,R9 380,135,34.4,75334
MSI,MSI R9 380 GAMING 4GB,135,34.4,75334
Sapphire,Sapphire R9 380 4GB NITRO,135,34.4,75334
Sapphire,Sapphire R9 380 2GB Dual-X OC,135,34.4,75334
Sapphire,Sapphire R9 380 2GB Dual-X OC,135,34.4,75334
Gigabyte,Gigabyte R9 380 4GB G1,135,34.4,75334
Gigabyte,Gigabyte R9 380 4GB G1 Windforce,135,34.4,75334
XFX,XFX R9 380 2GB DD Edition 2DF5,135,34.4,75334
XFX,XFX R9 380 2GB DD Edition F22M,135,34.4,75334
XFX,XFX R9 380 4GB DD Edition 4255,135,34.4,75334
XFX,XFX R9 380 4GB 4DF5,135,34.4,75334
Asus,Asus R9 380 2GB STRIX,135,34.4,75334
Asus,Asus R9 380  4GB STRIX GAMING,135,34.4,75334
PowerColor,PowerColor R9 380 4GB PCS+,135,34.4,75334
Nvidia,GTX 680,136,33.9,33141
Nvidia,GTX 960,137,33.6,418450
EVGA,EVGA GTX 960 2GB SuperSC ACX 2.0+,137,33.6,418450
Asus,ASUS GTX 960 2GB STRIX,137,33.6,418450
MSI,MSI GTX 960 2GB Gaming,137,33.6,418450
MSI,MSI GTX 960 4GB Gaming,137,33.6,418450
EVGA,EVGA GTX 960 4GB SuperSC ACX 2.0 Backplate,137,33.6,418450
Gigabyte,Gigabyte GTX 960 2GB Windforce 2X,137,33.6,418450
Gigabyte,Gigabyte GTX 960 2GB OC,137,33.6,418450
Asus,ASUS GTX 960 4GB STRIX,137,33.6,418450
EVGA,EVGA GTX 960 4GB FTW GAMING ACX 2.0+,137,33.6,418450
AMD,R9 285,138,32.8,5935
MSI,MSI R9 285 2GB GAMING,138,32.8,5935
Sapphire,Sapphire R9 285 2GB Dual-X OC,138,32.8,5935
PowerColor,PowerColor R9 285 2GB Turbo Duo,138,32.8,5935
Intel,Arc A380,139,32.2,30
AMD,R9 280,140,32,42793
Sapphire,Sapphire R9 280 3GB Dual-X,140,32,42793
XFX,XFX R9 280 3GB Double Dissipation,140,32,42793
XFX,XFX R9 280 3GB Double Dissipation Black,140,32,42793
Nvidia,Quadro K5200,141,32,1611
Nvidia,GTX 970M,142,31.8,25299
Nvidia,Quadro M4000,143,31.6,8869
Nvidia,GTX 1050 Ti,144,30.9,1036829
EVGA,EVGA GTX 1050 Ti 4GB SC Single Fan,144,30.9,1036829
EVGA,EVGA GTX 1050 Ti 4GB Gaming Single Fan,144,30.9,1036829
EVGA,EVGA GTX 1050 Ti 4GB SSC GAMING ACX 3.0,144,30.9,1036829
MSI,MSI GTX 1050 Ti 4GB OC,144,30.9,1036829
MSI,MSI GTX 1050 Ti 4GB OC Twin,144,30.9,1036829
Gigabyte,Gigabyte GTX 1050 Ti 4GB OC,144,30.9,1036829
Zotac,Zotac GTX 1050 Ti 4GB Mini,144,30.9,1036829
Zotac,Zotac GTX 1050 Ti 4GB Twin,144,30.9,1036829
Gigabyte,Gigabyte GTX 1050 Ti 4GB Twin,144,30.9,1036829
MSI,MSI GTX 1050 Ti 4GB GAMING X,144,30.9,1036829
Asus,Asus GTX 1050 Ti 4GB Expedition,144,30.9,1036829
Asus,Asus GTX 1050 Ti 4GB ROG STRIX,144,30.9,1036829
EVGA,EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0,144,30.9,1036829
Gigabyte,Gigabyte GTX 1050 Ti 4GB 1430 MHz,144,30.9,1036829
Gigabyte,Gigabyte GTX 1050 Ti 4GB G1 GAMING,144,30.9,1036829
PNY,PNY GTX 1050 Ti 4GB Single,144,30.9,1036829
Asus,Asus GTX 1050 Ti 4GB Cerberus OC,144,30.9,1036829
Gigabyte,Gigabyte GTX 1050 Ti 4GB OC Low Profile,144,30.9,1036829
AMD,HD 7950,145,30.8,35121
Nvidia,GTX 1050 Ti (Mobile),146,30.7,113256
Nvidia,GTX 670,147,29.2,51475
Nvidia,GTX 880M,148,28.3,2248
Nvidia,GTX 760,149,27.8,158023
Nvidia,GTX 660 Ti,150,27.7,42078
AMD,R9 270X,151,27.5,78439
Sapphire,Sapphire R9 270X 2GB Dual-X Boost OC,151,27.5,78439
Sapphire,Sapphire R9 270X 4GB Dual-X Boost OC,151,27.5,78439
Gigabyte,Gigabyte R9 270X 2GB WINDFORCE,151,27.5,78439
Gigabyte,Gigabyte R9 270X 4GB WINDFORCE,151,27.5,78439
Asus,Asus R9 270X 2GB DirectCU II,151,27.5,78439
Nvidia,GTX 760 Ti OEM,152,27.2,1814
Nvidia,GTX 1050,153,27,254118
Zotac,Zotac GTX 1050 2GB Mini,153,27,254118
MSI,MSI GTX 1050 2GB OC,153,27,254118
MSI,MSI GTX 1050 2GB TWIN OC,153,27,254118
MSI,MSI GTX 1050 2GB GAMING X,153,27,254118
Gigabyte,Gigabyte GTX 1050 2GB OC,153,27,254118
EVGA,EVGA GTX 1050 2GB SC GAMING,153,27,254118
Gigabyte,Gigabyte GTX 1050 2GB OC Single,153,27,254118
Gigabyte,Gigabyte GTX 1050 2GB Windforce,153,27,254118
Asus,Asus GTX 1050 2GB Expedition,153,27,254118
EVGA,EVGA GTX 1050 2GB SSC GAMING,153,27,254118
PNY,PNY GTX 1050 2GB,153,27,254118
EVGA,EVGA GTX 1050 2GB GAMING,153,27,254118
Asus,Asus GTX 1050 2GB Phoenix,153,27,254118
AMD,HD 7870,154,26.6,41044
Nvidia,GTX 1630,155,26.5,49
Nvidia,GTX 1050 Ti (Mobile Max-Q),156,26.4,10799
Nvidia,GTX 950,157,26,119522
Zotac,Zotac GTX 950 2GB,157,26,119522
Zotac,Zotac GTX 950 2GB OC,157,26,119522
Zotac,Zotac GTX 950 2GB AMP!,157,26,119522
EVGA,EVGA GTX 950 2GB SC,157,26,119522
EVGA,EVGA GTX 950 2GB ACX 2.0,157,26,119522
EVGA,EVGA GTX 950 2GB SSC ACX,157,26,119522
Asus,Asus GTX 950 2GB STRIX GAMING,157,26,119522
Gigabyte,Gigabyte GTX 950 2GB Windforce,157,26,119522
MSI,MSI GTX 950 2GB GAMING,157,26,119522
MSI,MSI GTX 950 2GB OC,157,26,119522
Gigabyte,Gigabyte GTX 950 2GB XTREME,157,26,119522
AMD,Radeon RX Vega M GL,158,25.1,1514
Nvidia,GTX 1050 (Mobile),159,24.9,165406
Nvidia,GTX 780M,160,24.9,3942
Nvidia,Quadro P1000,161,24.6,7154
Nvidia,GTX 590 (SLI Disabled),162,24.4,1221
AMD,R9 270,163,24.4,48522
Asus,ASUS R9 270 2GB Direct CU II OC,163,24.4,48522
Sapphire,Sapphire R9 270 2GB Dual-X Boost OC,163,24.4,48522
Gigabyte,Gigabyte R9 270 2GB OC,163,24.4,48522
Nvidia,GTX 965M,164,23.8,3836
Nvidia,GTX 870M,165,23.6,3072
AMD,FirePro W7000,166,22.9,72
Parallels,Display Adapter (WDDM),167,22.7,1991
AMD,RX 560,168,22.6,54540
MSI,MSI RX 560 4GB Aero ITX,168,22.6,54540
Nvidia,GTX 680MX,169,22.5,274
Nvidia,Quadro K5100M,170,22.3,625
Nvidia,Quadro K5000,171,22.1,3576
Nvidia,Quadro K4200,172,21.9,7021
Nvidia,GTX 775M,173,21.9,469
Nvidia,Quadro M2000,174,21.6,5564
Nvidia,GTX 580,175,21.5,15137
Nvidia,GTX 660,176,21.1,123681
AMD,R9 M290X,177,21,1451
Nvidia,GTX 760 (192-bit),178,20.9,10718
AMD,R7 370,179,20.9,37684
MSI,MSI R7 370 4GB Gaming,179,20.9,37684
MSI,MSI R7 370 2GB Gaming,179,20.9,37684
Gigabyte,Gigabyte AMD R7 370 2GB,179,20.9,37684
Sapphire,Sapphire R7 370 2GB Dual-X OC ,179,20.9,37684
Sapphire,Sapphire R7 370 4GB NITRO Dual-X OC,179,20.9,37684
Asus,ASUS R7 370 2GB STRIX OC,179,20.9,37684
Asus,ASUS R7 370 4GB STRIX OC,179,20.9,37684
XFX,XFX R7 370 2GB 2SF5,179,20.9,37684
AMD,HD 6970,180,20.7,9260
AMD,Radeon HD 7970M,181,20.6,945
AMD,HD 6990 (Crossfire Disabled),182,20.5,1179
Microsoft,RemoteFX Graphics Device - WDDM,183,20.3,123
AMD,RX 460,184,20.1,63867
Gigabyte,Gigabyte RX 460 4GB Windforce OC,184,20.1,63867
Gigabyte,Gigabyte RX 460 2GB Windforce OC,184,20.1,63867
Asus,Asus RX 460 4GB ROG STRIX OC,184,20.1,63867
Gigabyte,Gigabyte RX 460 2GB Windforce OC,184,20.1,63867
PowerColor,PowerColor RX 460 2GB Red Dragon,184,20.1,63867
Sapphire,Sapphire RX 460 4GB Nitro,184,20.1,63867
Sapphire,Sapphire RX 460 2GB 1210 MHz,184,20.1,63867
Sapphire,Sapphire RX 460 2GB 1090 MHz,184,20.1,63867
XFX,XFX RX 460 2GB,184,20.1,63867
XFX,XFX RX 460 2GB,184,20.1,63867
XFX,XFX RX 460 4GB SF,184,20.1,63867
Gigabyte,Gigabyte RX 460 4GB Windforce 2x,184,20.1,63867
Asus,Asus RX 460 2GB Dual Fan OC,184,20.1,63867
MSI,MSI RX 460 2GB 2G OC,184,20.1,63867
AMD,HD 7790,185,20,8709
AMD,Radeon RX 560-B,186,19.9,51851
AMD,R9 M290,187,19.9,89
AMD,R7 260X,188,19.8,35850
Sapphire,SAPPHIRE R7 260X 2GB OC 2x DVI,188,19.8,35850
